,Descriptive_ID,Pfam_ID,CL,Description,Gathering_threshold,Symbol,ML,Overlapping_family,Type
1070,Asp1,PF16993.8,CL0113,Accessory Sec system protein Asp1,26; 26;,Asp1,522,,Family
1071,Asp2,PF16929.8,CL0028,Accessory Sec system GspB-transporter,28; 28;,Asp2,500,,Family
1072,Asp23,PF03780.16,,"Asp23 family, cell envelope-related function",28; 28;,Asp23,108,,Family
1073,Asp4,PF16996.8,,Accessory secretory protein Sec Asp4,27.7; 27.7;,Asp4,55,,Family
1074,Asp5,PF17000.8,,"Accessory secretory protein Sec, Asp5",25; 25;,Asp5,71,,Family
1075,Asp_Arg_Hydrox,PF05118.18,CL0029,Aspartyl/Asparaginyl beta-hydroxylase,22.6; 22.6;,Asp_Arg_Hydrox,156,,Domain
1076,Asp_DH_C,PF01958.21,CL0139,"Aspartate dehydrogenase, C-terminal",27; 27;,Asp_DH_C,89,,Domain
1077,Asp_Glu_race,PF01177.25,CL0399,Asp/Glu/Hydantoin racemase,31; 31;,Asp_Glu_race,211,,Family
1078,Asp_Glu_race_2,PF14669.9,CL0399,Putative aspartate racemase,26.3; 26.3;,Asp_Glu_race_2,176,,Family
1079,Asp_aminotransf,PF12897.10,CL0061,Aspartate amino-transferase,27; 27;,Asp_aminotransf,421,,Domain
1080,Asp_decarbox,PF02261.19,CL0332,Aspartate decarboxylase,25; 25;,Asp_decarbox,115,,Domain
1081,Asp_protease,PF09668.13,CL0129,Aspartyl protease,21; 21;,Asp_protease,124,,Family
1082,Asp_protease_2,PF13650.9,CL0129,Aspartyl protease,24.3; 24.3;,Asp_protease_2,90,,Domain
1083,Asparaginase,PF00710.23,,"Asparaginase, N-terminal",22.5; 22.5;,Asparaginase,191,,Domain
1084,Asparaginase_2,PF01112.21,CL0052,Asparaginase,27; 27;,Asparaginase_2,309,,Domain
1085,Asparaginase_C,PF17763.4,,Glutaminase/Asparaginase C-terminal domain,34.6; 34.6;,Asparaginase_C,114,,Domain
1086,Asparaginase_II,PF06089.15,,L-asparaginase II,25; 25;,Asparaginase_II,322,,Family
1087,Aspzincin_M35,PF14521.9,CL0126,Lysine-specific metallo-endopeptidase,30; 30;,Aspzincin_M35,142,,Domain
1088,Asr,PF06392.14,,Acid shock protein repeat,21; 21;,Asr,21,,Repeat
1089,AstA,PF04958.15,CL0257,Arginine N-succinyltransferase beta subunit,29.4; 29.4;,AstA,337,,Domain
1090,AstB,PF04996.15,CL0197,Succinylarginine dihydrolase,27; 27;,AstB,443,,Family
1091,AstE_AspA,PF04952.17,CL0035,Succinylglutamate desuccinylase / Aspartoacylase family,25; 25;,AstE_AspA,291,,Domain
1092,Astacin,PF01400.27,CL0126,Astacin (Peptidase family M12A),22.5; 22.5;,Astacin,191,,Domain
1093,Astro_1A,PF19415.2,,Astrovirus transmembrane protein 1A,27; 27;,Astro_1A,244,,Family
1094,Astro_VPg,PF19416.2,,Astrovirus VPg protein,25; 25;,Astro_VPg,95,,Family
1095,Astro_capsid_N,PF03115.17,CL0055,Astrovirus capsid protein precursor,23; 23;,Astro_capsid_N,400,,Family
1096,Astro_capsid_p,PF12226.11,,Turkey astrovirus capsid protein,25; 25;,Astro_capsid_p,363,,Family
1097,Astro_capsid_p2,PF16580.8,,C-terminal tail of astrovirus capsid projection or spike,25; 25;,Astro_capsid_p2,245,,Domain
1098,Astro_p19,PF19414.2,,Astrovirus p19 protein,27; 27;,Astro_p19,174,,Family
1099,Astrovir_pp_1,PF12285.11,,Astroviridae polyprotein 1,25; 25;,Astrovir_pp_1,171,,Family
1100,At2g31720-like,PF03754.16,CL0405,B3 domain-containing protein At2g31720-like,24.4; 24.4;,At2g31720-like,113,,Family
1101,AtaL,PF08982.14,CL0209,Acetylaranotin biosynthesis cluster protein L,27; 27;,AtaL,149,,Family
1102,Atg11_middle,PF19697.2,,Atg11 middle domain,26; 26;,Atg11_middle,79,,Domain
1103,AtpR,PF12966.10,CL0478,"N-ATPase, AtpR subunit",26; 26;,AtpR,86,,Family
1104,Atracotoxin,PF05353.14,CL0083,Delta Atracotoxin,25; 25;,Atracotoxin,42,,Family
1105,Atrophin-1,PF03154.18,,Atrophin-1 family,29.9; 29.9;,Atrophin-1,994,,Disordered
1106,Attachment_P66,PF11263.11,,Borrelia burgdorferi attachment protein P66,25.2; 25.2;,Attachment_P66,253,,Family
1107,Attacin_C,PF03769.18,CL0193,"Attacin, C-terminal region",28.8; 28.8;,Attacin_C,120,,Family
1108,Attacin_N,PF03768.18,CL0193,"Attacin, N-terminal region",23.9; 23.9;,Attacin_N,64,,Family
1109,Atthog,PF18800.4,CL0375,Attenuator of Hedgehog,29.8; 29.8;,Atthog,141,,Family
1110,Attractin,PF08037.14,,Attractin family,25; 25;,Attractin,55,,Family
1111,Atu4866,PF11512.11,,Agrobacterium tumefaciens protein Atu4866,25; 25;,Atu4866,75,,Family
1112,AtuA,PF07287.14,,Acyclic terpene utilisation family protein AtuA,22.8; 22.8;,AtuA,351,,Family
1113,Atx10homo_assoc,PF09759.12,CL0020,Spinocerebellar ataxia type 10 protein domain,28.9; 28.9;,Atx10homo_assoc,99,,Repeat
1114,Atypical_Card,PF18461.4,CL0041,Atypical caspase recruitment domain,28.6; 28.6;,Atypical_Card,95,,Domain
1115,AtzG-like,PF13318.9,,1-carboxybiuret hydrolase subunit AtzG-like,24; 24;,AtzG-like,50,,Family
1116,Augurin,PF15187.9,,Oesophageal cancer-related gene 4,27; 27;,Augurin,114,,Family
1117,AurF,PF11583.11,CL0044,P-aminobenzoate N-oxygenase AurF,29.6; 29.6;,AurF,283,,Domain
1118,Aurora-A_bind,PF09041.13,,Aurora-A binding,21; 21;,Aurora-A_bind,68,,Disordered
1119,Auto_anti-p27,PF06677.15,CL0167,Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27),24.1; 24.1;,Auto_anti-p27,40,,Family
1120,Autoind_bind,PF03472.18,CL0161,Autoinducer binding domain,23; 23;,Autoind_bind,149,,Domain
1121,Autoind_synth,PF00765.20,CL0257,Autoinducer synthase,24; 24;,Autoind_synth,183,,Family
1122,Autophagy_act_C,PF03987.18,CL0097,"Autophagocytosis associated protein, active-site domain",24.4; 24.4;,Autophagy_act_C,206,,Domain
1123,Autotransporter,PF03797.22,CL0193,Autotransporter beta-domain,26; 26;,Autotransporter,255,,Domain
1124,Auts2,PF15336.9,,Autism susceptibility gene 2 protein,23; 23;,Auts2,217,,Family
1125,Auxin_BP,PF02041.19,CL0029,Auxin binding protein,21; 21;,Auxin_BP,167,,Domain
1126,Auxin_canalis,PF05703.14,,Auxin canalisation,24.8; 24.8;,Auxin_canalis,257,,Family
1127,Auxin_inducible,PF02519.17,,Auxin responsive protein,26.3; 26.3;,Auxin_inducible,90,,Family
1128,Auxin_repressed,PF05564.15,,Dormancy/auxin associated protein,25; 25;,Auxin_repressed,118,,Family
1129,Auxin_resp,PF06507.16,,Auxin response factor,30.6; 30.6;,Auxin_resp,83,,Family
1130,Av_adeno_fibre,PF06536.14,CL0674,"Avian adenovirus fibre, N-terminal",22.7; 22.7;,Av_adeno_fibre,56,,Repeat
1131,AveC_like,PF17198.7,,Spirocyclase AveC-like,26.6; 26.6;,AveC_like,234,,Family
1132,AviRa,PF11599.11,CL0063,RRNA methyltransferase AviRa,25.7; 25.7;,AviRa,232,,Family
1133,Avian_gp85,PF03708.17,,"Avian retrovirus envelope protein, gp85",32.2; 32.2;,Avian_gp85,246,,Family
1134,Avidin,PF01382.20,,Avidin family,24; 24;,Avidin,115,,Domain
1135,Avl9,PF09794.12,CL0330,Transport protein Avl9,22; 22;,Avl9,378,,Family
1136,AvrB_AvrC,PF05394.14,,Avirulence protein,23.2; 23.2;,AvrB_AvrC,326,,Family
1137,AvrD,PF05655.14,,Pseudomonas avirulence D protein (AvrD),25; 25;,AvrD,332,,Family
1138,AvrE_T3Es,PF11725.11,,AvrE-family Type-III effector proteins (T3Es),24; 24;,AvrE_T3Es,1518,,Family
1139,AvrL567-A,PF11529.11,CL0389,Melampsora lini avirulence protein AvrL567-A,27; 27;,AvrL567-A,127,,Family
1140,AvrLm4-7,PF18661.4,,Avirulence Effector AvrLm4-7,25; 25;,AvrLm4-7,86,,Domain
1141,AvrM-A,PF18241.4,,Flax-rust effector AvrM-A,27; 27;,AvrM-A,147,,Domain
1142,AvrM_N,PF18247.4,,Flax-rust effector AvrM N-terminal domain,25; 25;,AvrM_N,65,,Domain
1143,AvrPphF-ORF-2,PF09143.13,CL0084,AvrPphF-ORF-2,25; 25;,AvrPphF-ORF-2,175,,Domain
1144,AvrPto,PF11592.11,,Central core of the bacterial effector protein AvrPto,27; 27;,AvrPto,105,,Family
1145,AvrPtoB-E3_ubiq,PF09046.13,,AvrPtoB E3 ubiquitin ligase,25; 25;,AvrPtoB-E3_ubiq,126,,Domain
1146,AvrPtoB_bdg,PF16847.8,,"Avirulence AvrPtoB, BAK1-binding domain",27; 27;,AvrPtoB_bdg,91,,Domain
1147,AvrRpt-cleavage,PF05627.14,,Cleavage site for pathogenic type III effector avirulence factor Avr,20.3; 20.3;,AvrRpt-cleavage,37,,Domain
1148,Ax_dynein_light,PF10211.12,,Axonemal dynein light chain,26.4; 26.4;,Ax_dynein_light,187,,Family
1149,Axin_b-cat_bind,PF08833.13,,Axin beta-catenin binding motif,23; 23;,Axin_b-cat_bind,37,,Motif
1150,AzlC,PF03591.17,,AzlC protein,32.1; 32.1;,AzlC,136,,Family
1151,AzlD,PF05437.15,,Branched-chain amino acid transport protein (AzlD),23.7; 23.7;,AzlD,99,,Family
1152,B,PF02216.19,CL0598,B domain,27; 27;,B,53,,Domain
1153,B-CoV_A_NSP1,PF11963.11,,"Betacoronavirus, lineage A, NSP1",25; 25;,B-CoV_A_NSP1,355,,Family
1154,B-block_TFIIIC,PF04182.15,CL0123,B-block binding subunit of TFIIIC,22; 22;,B-block_TFIIIC,75,,Family
1155,B1,PF02246.18,CL0072,Protein L b1 domain,25; 25;,B1,69,,Domain
1156,B12-binding,PF02310.22,CL0063,B12 binding domain,32.1; 32.1;,B12-binding,121,,Domain
1157,B12-binding_2,PF02607.20,,B12 binding domain,23; 23;,B12-binding_2,75,,Domain
1158,B12D,PF06522.14,,NADH-ubiquinone reductase complex 1 MLRQ subunit,21.5; 21.5;,B12D,69,,Family
1159,B2,PF11473.11,,RNA binding protein B2,25; 25;,B2,73,,Family
1160,B2-adapt-app_C,PF09066.13,CL0545,"Beta2-adaptin appendage, C-terminal sub-domain",22.6; 22.6;,B2-adapt-app_C,112,,Domain
1161,B277,PF17623.5,,Domain of unknown function,27; 27;,B277,277,,Family
1162,B3,PF02362.24,CL0405,B3 DNA binding domain,30.1; 30.1;,B3,101,,Family
1163,B3GALT2_N,PF19341.2,,"Beta-1,3-galactosyltransferase 2 N-terminus",27.5; 27.5;,B3GALT2_N,82,,Family
1164,B3R,PF17057.8,,Poxviridae B3 protein,50; 50;,B3R,123,,Family
1165,B3_4,PF03483.20,CL0383,B3/4 domain,29.3; 29.3;,B3_4,174,,Domain
1166,B5,PF03484.18,CL0123,tRNA synthetase B5 domain,28.6; 28.6;,B5,67,,Domain
1167,B56,PF01603.23,CL0020,Protein phosphatase 2A regulatory B subunit (B56 family),25; 25;,B56,413,,Repeat
1168,B9-C2,PF07162.14,CL0154,"Ciliary basal body-associated, B9 protein",27; 27;,B9-C2,168,,Domain
1169,BA14K,PF07886.14,,BA14K-like protein,26; 26;,BA14K,30,,Family
1170,BAALC_N,PF06989.15,,BAALC N-terminus,25; 25;,BAALC_N,50,,Family
1171,BAAT_C,PF08840.14,CL0028,BAAT / Acyl-CoA thioester hydrolase C terminal,20.9; 20.9;,BAAT_C,211,,Domain
1172,BACK,PF07707.18,CL0033,BTB And C-terminal Kelch,20.9; 20.9;,BACK,103,,Domain
1173,BACON,PF13004.10,CL0159,"Putative binding domain, N-terminal",25; 18;,BACON,53,,Domain
1174,BACON_2,PF19190.3,CL0159,Viral BACON domain,25; 15;,BACON_2,91,,Domain
1175,BAF,PF02961.17,,Barrier to autointegration factor,25; 25;,BAF,88,,Domain
1176,BAF1_ABF1,PF04684.16,,BAF1 / ABF1 chromatin reorganising factor,28.9; 28.9;,BAF1_ABF1,576,,Family
1177,BAF250_C,PF12031.11,CL0020,SWI/SNF-like complex subunit BAF250/Osa,21.1; 21.1;,BAF250_C,256,,Repeat
1178,BAG,PF02179.19,,BAG domain,23.4; 23.4;,BAG,78,,Family
1179,BAG6,PF12057.11,,BCL2-associated athanogene 6,25; 25;,BAG6,115,,Domain
1180,BAGE,PF08180.14,,B melanoma antigen family,20.9; 20.9;,BAGE,28,,Family
1181,BAH,PF01426.21,,BAH domain,30.8; 30.8;,BAH,122,,Domain
1182,BALF1,PF06861.14,,BALF1 protein,25.8; 25.8;,BALF1,182,,Family
1183,BAMBI,PF06211.15,CL0117,BMP and activin membrane-bound inhibitor (BAMBI) N-terminal domain,23; 23;,BAMBI,107,,Domain
1184,BAMBI_C,PF19337.2,,BMP and activin membrane-bound inhibitor homolog C-terminus,27; 27;,BAMBI_C,138,,Domain
1185,BAP,PF06639.14,,Basal layer antifungal peptide (BAP),25; 25;,BAP,76,,Family
1186,BAR,PF03114.21,CL0145,BAR domain,28.5; 28.5;,BAR,239,,Domain
1187,BAR_2,PF10455.12,CL0145,Bin/amphiphysin/Rvs domain for vesicular trafficking,25.4; 25.4;,BAR_2,289,,Family
1188,BAR_3,PF16746.8,CL0145,BAR domain of APPL family,31.7; 31.7;,BAR_3,238,,Domain
1189,BAR_3_WASP_bdg,PF10456.12,CL0145,WASP-binding domain of Sorting nexin protein,24.9; 24.9;,BAR_3_WASP_bdg,236,,Domain
1190,BAR_4,PF20400.1,CL0145,BAR-like domain,27; 27;,BAR_4,192,,Domain
1191,BASP1,PF05466.15,,Brain acid soluble protein 1 (BASP1 protein),25; 25;,BASP1,236,,Disordered
1192,BAT,PF15915.8,,GAF and HTH_10 associated domain,25.8; 25.8;,BAT,156,,Domain
1193,BAT2_N,PF07001.14,,BAT2 N-terminus,25; 25;,BAT2_N,191,,Family
1194,BATS,PF06968.16,,Biotin and Thiamin Synthesis associated domain,22.2; 22.2;,BATS,86,,Domain
1195,BBE,PF08031.15,CL0277,Berberine and berberine like,20.6; 20.6;,BBE,46,,Domain
1196,BBIP10,PF14777.9,,Cilia BBSome complex subunit 10,26; 26;,BBIP10,66,,Family
1197,BBL5,PF07289.14,CL0266,Bardet-Biedl syndrome 5 protein,23.8; 23.8;,BBL5,334,,Family
1198,BBMV_Gp1_N,PF04522.15,,"Broad bean mottle virus, Gp1, N-terminal",25; 25;,BBMV_Gp1_N,234,,Family
1199,BBP1_C,PF15272.9,,"Spindle pole body component BBP1, C-terminal",23.4; 23.4;,BBP1_C,190,,Domain
1200,BBP1_N,PF15271.9,,"Spindle pole body component BBP1, Mps2-binding protein",27; 27;,BBP1_N,152,,Family
1201,BBP2,PF07642.14,CL0193,"Putative beta-barrel porin-2, OmpL-like. bbp2",26.2; 26.2;,BBP2,346,,Family
1202,BBP2_2,PF10082.12,CL0193,Putative beta-barrel porin 2,23.7; 23.7;,BBP2_2,378,,Family
1203,BBP7,PF07585.14,CL0193,Putative beta barrel porin-7 (BBP7),26; 26;,BBP7,349,,Family
1204,BBS1,PF14779.9,,Ciliary BBSome complex subunit 1,27; 27;,BBS1,255,,Family
1205,BBS2_C,PF14782.9,,"Ciliary BBSome complex subunit 2, C-terminal",25; 25;,BBS2_C,432,,Family
1206,BBS2_Mid,PF14783.9,CL0186,"Ciliary BBSome complex subunit 2, middle region",27; 27;,BBS2_Mid,108,,Repeat
1207,BBS2_N,PF14781.9,CL0186,"Ciliary BBSome complex subunit 2, N-terminal",26.3; 26.3;,BBS2_N,106,,Family
1208,BB_PF,PF18063.4,CL0345,Beta barrel Pore-forming domain,27; 27;,BB_PF,204,,Domain
1209,BC10,PF06726.15,,Bladder cancer-related protein BC10,27; 27;,BC10,65,,Family
1210,BCAS2,PF05700.14,,Breast carcinoma amplified sequence 2 (BCAS2),24.5; 24.5;,BCAS2,206,,Family
1211,BCAS3,PF12490.11,,Breast carcinoma amplified sequence 3,24; 24;,BCAS3,240,,Family
1212,BCA_ABC_TP_C,PF12399.11,CL0023,Branched-chain amino acid ATP-binding cassette transporter,25.5; 25.5;,BCA_ABC_TP_C,27,,Domain
1213,BCCIP,PF13862.9,,BCCIP,27; 27;,BCCIP,209,,Family
1214,BCCT,PF02028.20,CL0062,"BCCT, betaine/carnitine/choline family transporter",27; 27;,BCCT,485,,Family
1215,BCD,PF15461.9,,"Beta-carotene 15,15'-dioxygenase",28; 28;,BCD,271,,Family
1216,BCDHK_Adom3,PF10436.12,,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,24; 24;,BCDHK_Adom3,162,,Family
1217,BCHF,PF07284.14,,2-vinyl bacteriochlorophyllide hydratase (BCHF),25; 25;,BCHF,139,,Family
1218,BCL9,PF11502.11,,B-cell lymphoma 9 protein,25; 25;,BCL9,39,,Family
1219,BCLP,PF12304.11,,Beta-casein like protein,29.4; 29.4;,BCLP,184,,Family
1220,BCL_N,PF04714.16,,"BCL7, N-terminal conserver region",25; 25;,BCL_N,49,,Family
1221,BCMA-Tall_bind,PF09257.13,CL0607,"BCMA, TALL-1 binding",27; 27;,BCMA-Tall_bind,37,,Domain
1222,BCNT,PF07572.15,,Bucentaur or craniofacial development,22.2; 22.2;,BCNT,75,,Family
1223,BCOR,PF15808.8,,"BCL-6 co-repressor, non-ankyrin-repeat region",27; 27;,BCOR,216,,Family
1224,BCS1_N,PF08740.14,,BCS1 N terminal,28.1; 28.1;,BCS1_N,187,,Domain
1225,BCSC_C,PF05420.14,CL0193,Cellulose synthase operon protein C C-terminus (BCSC_C),23.5; 23.5;,BCSC_C,339,,Family
1226,BChl_A,PF02327.20,,Bacteriochlorophyll A protein,25; 25;,BChl_A,354,,Domain
1227,BD-FAE,PF20434.1,CL0028,BD-FAE,26.8; 26.8;,BD-FAE,215,,Family
1228,BDHCT,PF08072.14,,BDHCT (NUC031) domain,25; 25;,BDHCT,41,,Domain
1229,BDHCT_assoc,PF16204.8,,BDHCT-box associated domain on Bloom syndrome protein,24.6; 24.6;,BDHCT_assoc,223,,Family
1230,BDM,PF10684.12,,Putative biofilm-dependent modulation protein,32.9; 32.9;,BDM,71,,Family
1231,BDV_G,PF06208.14,,Borna disease virus G protein,25; 25;,BDV_G,503,,Family
1232,BDV_M,PF16520.8,,ssRNA-binding matrix protein of Bornaviridae,27.3; 27.3;,BDV_M,103,,Domain
1233,BDV_P10,PF06515.14,,Borna disease virus P10 protein,25; 25;,BDV_P10,87,,Family
1234,BDV_P24,PF06595.14,,Borna disease virus P24 protein,25; 25;,BDV_P24,201,,Family
1235,BDV_P40,PF06407.14,,Borna disease virus P40 protein,26.3; 26.3;,BDV_P40,349,,Family
1236,BD_b_sandwich,PF18820.4,,Bdellovibrio Beta-sandwich,26.1; 26.1;,BD_b_sandwich,131,,Domain
1237,BEN,PF10523.12,,BEN domain,23.2; 23.2;,BEN,77,,Domain
1238,BES1_N,PF05687.16,,"BES1/BZR1 plant transcription factor, N-terminal",25; 25;,BES1_N,151,,Family
1239,BESS,PF02944.23,,BESS motif,21; 21;,BESS,35,,Motif
1240,BET,PF17035.8,CL0665,Bromodomain extra-terminal - transcription regulation,24.5; 21.9;,BET,64,,Domain
1241,BEX,PF04538.15,,Brain expressed X-linked like family,26.1; 26.1;,BEX,118,,Family
1242,BE_C,PF09210.14,CL0599,"1,4-alpha-glucan branching enzyme, C-terminal",25; 25;,BE_C,101,,Domain
1243,BFN_dom,PF02577.17,,Bifunctional nuclease domain,27; 27;,BFN_dom,114,,Domain
1244,BH3,PF15285.9,,"Beclin-1 BH3 domain, Bcl-2-interacting",25.5; 25.5;,BH3,25,,Domain
1245,BH4,PF02180.20,,Bcl-2 homology region 4,20.5; 20.5;,BH4,26,,Family
1246,BHD_1,PF10403.12,CL0700,Rad4 beta-hairpin domain 1,27; 27;,BHD_1,56,,Domain
1247,BHD_2,PF10404.12,CL0700,Rad4 beta-hairpin domain 2,33.5; 33.5;,BHD_2,64,,Domain
1248,BHD_3,PF10405.12,CL0123,Rad4 beta-hairpin domain 3,27; 27;,BHD_3,76,,Domain
1249,BID,PF06393.14,CL0551,BH3 interacting domain (BID),25; 25;,BID,191,,Domain
1250,BIG2_C,PF20252.1,,BIG2 C-terminal domain,27; 27;,BIG2_C,177,,Domain
1251,BILBO1_N,PF18281.4,CL0072,BILBO1 N-terminal domain,28.3; 28.3;,BILBO1_N,92,,Domain
1252,BING4CT,PF08149.14,,BING4CT (NUC141) domain,23.7; 23.7;,BING4CT,79,,Domain
1253,BIR,PF00653.24,CL0417,Inhibitor of Apoptosis domain,22.9; 22.9;,BIR,73,,Domain
1254,BIRC6,PF12356.11,,Baculoviral IAP repeat-containing protein 6,27; 27;,BIRC6,162,,Family
1255,BIV_Env,PF05858.15,,Bovine immunodeficiency virus surface protein (SU),20.8; 20.8;,BIV_Env,548,,Family
1256,BIg21,PF05688.14,CL0159,Bacterial Immunoglobulin-like 21,27.4; 27.4;,BIg21,110,,Domain
1257,BKACE,PF05853.15,,beta-keto acid cleavage enzyme,24.8; 24.8;,BKACE,274,,Domain
1258,BK_channel_a,PF03493.21,CL0582,Calcium-activated BK potassium channel alpha subunit,26.8; 26.8;,BK_channel_a,89,,Family
1259,BLACT_WH,PF17778.4,CL0123,Beta-lactamase associated winged helix domain,22.8; 22.8;,BLACT_WH,47,,Domain
1260,BLF1,PF17752.4,CL0663,Burkholderia lethal factor 1,25; 25;,BLF1,210,,Family
1261,BLH_phosphatase,PF04273.16,CL0031,"Beta-lactamase hydrolase-like protein, phosphatase-like domain",26.1; 26.1;,BLH_phosphatase,110,,Domain
1262,BLI1,PF17324.5,,BLOC-1 interactor 1,26.9; 26.9;,BLI1,111,,Family
1263,BLIP,PF07467.14,CL0320,Beta-lactamase inhibitor (BLIP),26.7; 26.7;,BLIP,123,,Family
1264,BLM10_N,PF16547.8,,"Proteasome-substrate-size regulator, N-terminal",27.2; 27.2;,BLM10_N,81,,Domain
1265,BLM10_mid,PF16507.8,,"Proteasome-substrate-size regulator, mid region",25.2; 25.2;,BLM10_mid,524,,Family
1266,BLM_N,PF16202.8,,N-terminal region of Bloom syndrome protein,27; 27;,BLM_N,370,,Family
1267,BLOC1S3,PF15753.8,,Biogenesis of lysosome-related organelles complex 1 subunit 3,27; 27;,BLOC1S3,181,,Family
1268,BLOC1_2,PF10046.12,,Biogenesis of lysosome-related organelles complex-1 subunit 2,33.4; 33.4;,BLOC1_2,96,,Coiled-coil
1269,BLUF,PF04940.15,CL0622,Sensors of blue-light using FAD,25; 25;,BLUF,92,,Domain
1270,BLYB,PF05289.14,,Borrelia hemolysin accessory protein,25; 25;,BLYB,120,,Family
1271,BMC,PF00936.22,,BMC domain,24.5; 24.5;,BMC,74,,Domain
1272,BMF,PF15185.9,,"Bcl-2-modifying factor, apoptosis",27; 27;,BMF,192,,Family
1273,BMFP,PF04380.16,,Membrane fusogenic activity,37.2; 37.2;,BMFP,77,,Family
1274,BMP2K_C,PF15282.9,,BMP-2-inducible protein kinase C-terminus,27; 27;,BMP2K_C,263,,Family
1275,BMT,PF12141.11,,Beta-mannosyltransferases,28.3; 28.3;,BMT,491,,Family
1276,BMT5-like,PF10354.12,CL0063,rRNA (uridine-N3-)-methyltransferase BTM5-like,24.7; 24.7;,BMT5-like,169,,Domain
1277,BNIP2,PF12496.11,,Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2,27; 27;,BNIP2,138,,Family
1278,BNIP3,PF06553.15,,BNIP3,26; 26;,BNIP3,187,,Family
1279,BNR,PF02012.23,CL0434,BNR/Asp-box repeat,27; 12.4;,BNR,12,,Repeat
1280,BNR_2,PF13088.9,CL0434,BNR repeat-like domain,31.4; 31.4;,BNR_2,275,,Repeat
1281,BNR_3,PF13859.9,CL0434,BNR repeat-like domain,27; 27;,BNR_3,310,,Repeat
1282,BNR_4,PF15892.8,CL0434,BNR repeat-containing family member,27.3; 27.3;,BNR_4,272,,Repeat
1283,BNR_6,PF15899.8,CL0434,BNR-Asp box repeat,27; 13;,BNR_6,14,,Repeat
1284,BNR_assoc_N,PF14873.9,,N-terminal domain of BNR-repeat neuraminidase,25; 25;,BNR_assoc_N,153,,Domain
1285,BNYVV_TGB3,PF06358.14,,"Beet necrotic yellow vein virus, movement protein TGB3",25; 25;,BNYVV_TGB3,111,,Family
1286,BNYVV_p31,PF04920.15,,"Beet necrotic yellow vein virus, p31",25; 25;,BNYVV_p31,126,,Family
1287,BOF,PF04076.16,CL0021,Bacterial OB fold (BOF) protein,25.8; 25.8;,BOF,103,,Domain
1288,BOFC_N,PF08977.13,,"Bypass of Forespore C, N terminal",25; 25;,BOFC_N,51,,Domain
1289,BON,PF04972.20,,BON domain,27; 16.5;,BON,69,,Domain
1290,BOP1NT,PF08145.15,,BOP1NT (NUC169) domain,29.6; 29.6;,BOP1NT,259,,Domain
1291,BORA_N,PF15280.9,,Protein aurora borealis N-terminus,27; 27;,BORA_N,223,,Family
1292,BORCS6,PF10157.12,,BLOC-1-related complex sub-unit 6 C-terminal helix,35; 35;,BORCS6,101,,Family
1293,BORCS7,PF16088.8,,BLOC-1-related complex sub-unit 7,27.3; 27.3;,BORCS7,103,,Family
1294,BORCS8,PF10167.12,,BLOC-1-related complex sub-unit 8,25; 25;,BORCS8,112,,Family
1295,BORG_CEP,PF14957.9,,Cdc42 effector,25; 25;,BORG_CEP,130,,Family
1296,BP28CT,PF08146.15,,BP28CT (NUC211) domain,27; 27;,BP28CT,158,,Domain
1297,BPA,PF10759.12,,Bacterial proteasome activator,29.5; 29.5;,BPA,160,,Family
1298,BPA_C,PF18040.4,CL0202,beta porphyranase A C-terminal,26.2; 26.2;,BPA_C,95,,Domain
1299,BPD_transp_1,PF00528.25,CL0404,Binding-protein-dependent transport system inner membrane component,26.4; 26.4;,BPD_transp_1,185,,Family
1300,BPD_transp_1_N,PF19300.2,,"Binding-prot-dependent transport system membrane comp, N-term",23.8; 23.8;,BPD_transp_1_N,114,,Family
1301,BPD_transp_2,PF02653.19,CL0142,Branched-chain amino acid transport system / permease component,26.8; 26.8;,BPD_transp_2,270,,Family
1302,BPL_C,PF02237.20,CL0206,Biotin protein ligase C terminal domain,21; 21;,BPL_C,48,,Domain
1303,BPL_LplA_LipB,PF03099.22,CL0040,Biotin/lipoate A/B protein ligase family,21; 21;,BPL_LplA_LipB,133,,Domain
1304,BPL_LplA_LipB_2,PF16917.8,CL0040,Biotin/lipoate A/B protein ligase family,27; 27;,BPL_LplA_LipB_2,184,,Domain
1305,BPL_N,PF09825.12,CL0014,"Biotin-protein ligase, N terminal",24.2; 24.2;,BPL_N,282,,Domain
1306,BPS,PF08947.13,,BPS (Between PH and SH2),27; 27;,BPS,48,,Domain
1307,BPS1,PF03087.17,CL0133,Protein BPS1,23.5; 23.5;,BPS1,236,,Family
1308,BPTA,PF17044.8,,Borrelial persistence in ticks protein A,27; 27;,BPTA,191,,Family
1309,BRAP2,PF07576.15,CL0221,BRCA1-associated protein 2,22; 22;,BRAP2,99,,Family
1310,BRCA-2_OB1,PF09103.13,CL0021,"BRCA2, oligonucleotide/oligosaccharide-binding, domain 1",25.6; 25.6;,BRCA-2_OB1,124,,Domain
1311,BRCA-2_OB3,PF09104.13,CL0021,"BRCA2, oligonucleotide/oligosaccharide-binding, domain 3",24; 24;,BRCA-2_OB3,139,,Domain
1312,BRCA-2_helical,PF09169.13,,"BRCA2, helical",25; 25;,BRCA-2_helical,187,,Domain
1313,BRCA2,PF00634.21,,BRCA2 repeat,20.3; 20.3;,BRCA2,29,,Family
