gene_name,gene_alias,function_broad,function_specific,ko_id,kegg_name_short,kegg_name_full,kegg_classification_broad,pfam_id,cazy_family,cazy_class,ref_ids,dois,years,organism_studied,ko_match_confidence,n_refs,notes
microbial metabolite flux (heterotrophy context),DOM cycling,Scaling up,Microbial metabolites linking heterotrophy to C cycling,NA,NA,NA,NA,NA,NA,NA,Moran2022,,2022,Marine microbes (diverse),unmatched,1,Heterotrophic microbial metabolites as key links in marine carbon cycle; protist contributions included
eukaryome diversity (host-associated),protist symbiont;parasite,Scaling up,Microeukaryote diversity in host-associated contexts,NA,NA,NA,NA,NA,NA,NA,Campo2019,10.1111/1365-2435.13490,2019,Animal-associated microeukaryotes,unmatched,1,Framework for heterotrophic protist roles as symbionts/parasites in host-associated communities
mixotrophic C pump role,mixotrophy carbon export,Scaling up,Mixotrophic contribution to biological carbon pump,NA,NA,NA,NA,NA,NA,NA,Mitra2014,10.5194/bg-11-995-2014,2014,Mixotrophic protists (diverse),unmatched,1,Mixotrophs as heterotrophs contribute substantially to biological carbon pump; review framework
heterotrophy (protist microbiome role),protist heterotrophy review,Scaling up,Protist ecological roles in marine microbiome,NA,NA,NA,NA,NA,NA,NA,Bachy2022,10.1007/978-3-030-90383-1_4,2022,Marine protists (diverse),unmatched,1,Comprehensive review of protist roles including heterotrophy in shaping marine microbiome
heterotrophy as protist trait,trophic mode trait,Scaling up,Trait-based framework for heterotrophic protists,NA,NA,NA,NA,NA,NA,NA,Jamy2025,10.1016/j.tim.2025.08.008,2025,Protists (diverse),unmatched,1,Heterotrophy as core ecological trait; framework for integrating molecular and ecological data
metatranscriptome marker genes,NA,Scaling up,Transcriptomic methods for marine protists,NA,NA,NA,NA,NA,NA,NA,Caron2017,10.1038/nrmicro.2016.160,2017,Marine protists (diverse),unmatched,1,Methods primer; no flux synthesis; important framing reference
trophic mode gene repertoire (MAG-based),heterotrophic gene set,Scaling up,Trophic mode inference from MAGs,NA,NA,NA,NA,NA,NA,NA,Alexander2023,10.1128/mbio.01676-23,2023,Marine eukaryotes (global metagenomes),unmatched,1,MAG-based trophic prediction; heterotrophy gene signatures in uncultured taxa across ocean biomes
stramenopile single-cell gene repertoire,SAG gene set,Scaling up,Uncultured stramenopile functional genomics,NA,NA,NA,NA,NA,NA,NA,Seeleuthner2018,10.1038/s41467-017-02235-3,2018,Uncultured stramenopiles (MAST; Tara Oceans),unmatched,1,SAG-based; phagocytosis and heterotrophy gene sets present in diverse uncultured stramenopile lineages
Rab5,RAB5A,Vesicle trafficking,Early phagosome maturation,K07889,RAB5C,Ras-related protein Rab-5C,Phagotrophy,NA,NA,NA,Labarre2021,10.1038/s41396-020-00885-8,2021,MAST lineages (15 species),exact,1,Early endosomal marker; present across MAST lineages
Rab5,RAB5A,Vesicle trafficking,Early phagosome maturation,K07889,Rab-5C,Ras-related protein Rab-5C,Phagotrophy,NA,NA,NA,Labarre2021,10.1038/s41396-020-00885-8,2021,MAST lineages (15 species),exact,1,Early endosomal marker; present across MAST lineages
Rab11 (recycling endosome),RAB11A,Vesicle trafficking,Endosomal recycling,K07904,NA,NA,NA,NA,NA,NA,Liu2016,10.1093/femsec/fiw106,2016,Ochromonas sp.; Prymnesium parvum; Chrysochromulina sp.,exact,1,Vesicle trafficking gene differentially expressed across mixotrophic strategies
RAB7,Rab7A,Vesicle trafficking,Late endosome maturation,K07900,NA,NA,NA,NA,NA,NA,Labarre2020,10.1002/lno.11379,2020,MAST heterotrophic flagellates,exact,1,Marks transition from early to late phagosome
ESCRT-III (VPS4),VPS4A;SKD1,Vesicle trafficking,Multivesicular body/late endosome sorting,K12196,NA,NA,NA,NA,NA,NA,Obiol2023,10.1186/s40168-023-01571-5,2023,HNF natural assemblages,exact,1,ESCRT pathway upregulated during bacterivory
VAMP7,TI-VAMP;synaptobrevin,Vesicle trafficking,Phagolysosome fusion,K08488,syntaxin 7,syntaxin 7,Phagotrophy,NA,NA,NA,Labarre2020,10.1002/lno.11379,2020,MAST heterotrophic flagellates,exact,1,SNARE protein mediating phagosome-lysosome fusion
Rab14,NA,Vesicle trafficking,Phagosome-recycling endosome trafficking,K07893,NA,NA,NA,NA,NA,NA,Boulais2010,10.1038/msb.2010.80,2010,Dictyostelium discoideum,exact,1,Deep conservation of phagosomal Rab network
PI3-kinase (VPS34),PIK3C3;VPS34,Vesicle trafficking,Phosphoinositide 3-kinase; phagosome signaling,K00914,"PIK3C3, VPS34",Phosphatidylinositol 3-kinase,Phagotrophy,NA,NA,NA,Labarre2021,10.1038/s41396-020-00885-8,2021,MAST lineages (15 species),exact,1,Produces PI3P on phagosome membrane; recruits effectors
PI3-kinase (VPS34),PIK3C3;VPS34,Vesicle trafficking,Phosphoinositide 3-kinase; phagosome signaling,K00914,"PIK3C3, VPS34",phosphatidylinositol 3-kinase [EC:2.7.1.137],Phagotrophy,NA,NA,NA,Labarre2021,10.1038/s41396-020-00885-8,2021,MAST lineages (15 species),exact,1,Produces PI3P on phagosome membrane; recruits effectors
PI3-kinase (VPS34),PIK3C3;VPS34,Vesicle trafficking,Phosphoinositide 3-kinase; phagosome signaling,K00914,phosphatidylinositol 3-kinase,phosphatidylinositol 3-kinase [EC:2.7.1.137],Phagotrophy,NA,NA,NA,Labarre2021,10.1038/s41396-020-00885-8,2021,MAST lineages (15 species),exact,1,Produces PI3P on phagosome membrane; recruits effectors
WASH complex,WASHC1;FAM21,Vesicle trafficking,Retromer-mediated recycling from endosomes,K12171,NA,NA,NA,NA,NA,NA,Labarre2021,10.1038/s41396-020-00885-8,2021,MAST lineages (15 species),exact,1,Actin nucleation on endosomes for cargo sorting
